id,name,country,lat,long,usedstart,usedend
1581,Pangkalan Bun,IDN,-2.95,111.4,10125,1475
1584,Dardanelles,TUR,,,10127,147
1590,Suez,EGY,29.9667,32.55,10353,148
1593,Dar es Salaam,TZA,-6.8167,39.3167,10544,894
1594,Peru,PER,,,10582,15181
1597,Kanazawa,JPN,36.6167,136.6,10585,7832
1598,Gore Bay,NZL,,,10599,11113
1600,Melbourne,AUS,-37.8311,144.9178,10600,1366
1602,Ventspils,LVA,57.4008,21.5558,10654,3
1607,Punta Arenas,CHL,-53.1667,-70.9,10675,2060
1611,Ternate Is.,IDN,0.7833,127.3667,10687,3586
1612,Talcahuano,CHL,-36.693,-73.0986,10690,2061
1613,Sturgeon Bay,USA,44.85,-87.35,10700,4008
1622,Lake Charles,USA,30.2164,-93.2553,10705,129
1630,San Marcos Is.,MEX,27.2153,-112.0775,10746,11363
1631,Fujairah Anch.,ARE,25.2256,56.5239,10754,50
1633,Villagarcia,ESP,42.6,-8.7667,10938,4346
1640,Yosu,KOR,34.7483,127.7461,10944,593
1647,Pointe aux Trembles,CAN,45.6333,-73.4833,11091,2403
1648,Goderich,CAN,43.75,-81.75,11097,1994
1652,Pekanbaru,IDN,0.55,101.45,11157,1476
1658,Rio Haina,DOM,18.422,-70.0144,11158,18
1661,Ahus,SWE,55.9333,14.3167,11237,7072
1663,Cayman Brac,CYM,,,11243,11908
1669,Sfax,TUN,34.7333,10.7667,11246,2748
1671,Akranes,ISL,64.3167,-22.0833,11271,29211
1673,Escobar,ARG,-34.35,-58.7667,11272,28144
1675,Zeebrugge,BEL,51.3231,3.2158,11273,167
1676,Wenzhou,CHN,28.0111,120.675,11305,4880
1677,Ocho Rios,JAM,18.4064,-77.1086,11342,1847
1678,Glasgow,GBR,55.8667,-4.2833,11348,1625
1686,Sal Is.,CPV,16.7167,-22.9333,11359,8364
1687,Guaymas,MEX,27.9,-110.8667,11360,1547
1690,Marathon,CAN,48.75,-86.3833,11375,4011
1697,Bremerhaven,DEU,53.55,8.5833,11377,730
1698,Umm Qasr,IRQ,30.0333,47.95,11442,1106
1707,Port Calton,PHL,12.1833,120.1,11481,444
1708,Moss,NOR,59.4419,10.6483,11482,3902
1709,Ichihara,JPN,35.5333,140.0667,11488,no
1715,Port Allen(LA USA),USA,30.4667,-91.2,11489,9898
1720,Takoradi,GHA,4.888,-1.7511,11492,295
1726,Boston(GBR),GBR,52.97,-0.0147,11531,20224
1727,Geismar,USA,30.2167,-91.0167,11533,4353
1729,Oulu,FIN,65,25.4667,11538,8150
1732,Everingen,NLD,51.4633,3.6739,11544,168
1733,Khoms,LBY,32.65,14.2667,11559,5185
1734,Pantoloan,IDN,-0.7,119.8333,11566,3798
1735,Norresundby,DNK,57.0569,9.9236,11570,18948
1740,Skaw,DNK,57.7333,10.6333,11572,4
